case,hidden_layer_1,hidden_layer_2,hidden_layer_3,scope,epochs,final_train_loss_scaled_target,MAE,MSE,RMSE,R2,rank_by_rmse
7,15,6,1,overall,500,0.012503198075403527,1021.12109375,2986382.25,1728.1152305329642,0.9369239211082458,1
7,15,6,1,plant_1,500,0.012503198075403527,802.5449829101562,1625358.375,1274.8954368888453,0.9740491509437561,1
7,15,6,1,plant_2,500,0.012503198075403527,1239.017333984375,4343173.0,2084.0280708282216,0.8580986261367798,1
8,15,6,3,overall,500,0.013128821749421881,872.5242309570312,3373718.75,1836.7685619043027,0.9287428855895996,2
8,15,6,3,plant_1,500,0.013128821749421881,546.2157592773438,1058687.0,1028.9251673469748,0.9830967783927917,2
8,15,6,3,plant_2,500,0.013128821749421881,1197.81787109375,5681549.5,2383.6001132740366,0.81437087059021,2
4,15,3,1,overall,500,0.016781254433004593,951.9141235351562,3552849.0,1884.900262613383,0.9249594211578369,3
4,15,3,1,plant_1,500,0.016781254433004593,651.1919555664062,1014092.0625,1007.0213813519553,0.9838087558746338,3
4,15,3,1,plant_2,500,0.016781254433004593,1251.7010498046875,6083709.0,2466.5175855849884,0.8012313842773438,3
2,15,1,3,overall,500,0.014771191903003833,1133.8397216796875,4748101.0,2179.013767739892,0.8997142314910889,4
2,15,1,3,plant_1,500,0.014771191903003833,522.942138671875,831137.25,911.6672912855873,0.9867298603057861,4
2,15,1,3,plant_2,500,0.014771191903003833,1742.8372802734375,8652881.0,2941.5779778887386,0.7172906994819641,4
6,15,3,6,overall,500,0.01606158982598927,1338.6141357421875,6290186.5,2508.024421731176,0.867143452167511,5
6,15,3,6,plant_1,500,0.01606158982598927,538.0228881835938,584070.0625,764.2447660926439,0.990674614906311,5
6,15,3,6,plant_2,500,0.01606158982598927,2136.715087890625,11978555.0,3461.004911871695,0.6086333990097046,5
5,15,3,3,overall,500,0.013593817561319688,1187.67138671875,8839347.0,2973.103933602053,0.8133020401000977,6
5,15,3,3,plant_1,500,0.013593817561319688,472.31170654296875,675669.375,821.9911039664602,0.9892120957374573,6
5,15,3,3,plant_2,500,0.013593817561319688,1900.8057861328125,16977632.0,4120.392214340766,0.4453021287918091,6
3,15,1,6,overall,500,0.01640266839914569,1933.8563232421875,11414661.0,3378.559012360151,0.758908212184906,7
3,15,1,6,plant_1,500,0.01640266839914569,1454.47314453125,5909868.5,2431.0221101421516,0.9056417346000671,7
3,15,1,6,plant_2,500,0.01640266839914569,2411.748046875,16902330.0,4111.244337180655,0.4477624297142029,7
9,15,6,6,overall,500,1.0107419752493136,6040.29345703125,47616964.0,6900.504619228945,-0.005729317665100098,8
9,15,6,6,plant_1,500,1.0107419752493136,6831.8515625,62752752.0,7921.663461672681,-0.0019241571426391602,8
9,15,6,6,plant_2,500,1.0107419752493136,5251.19677734375,32528260.0,5703.355152890271,-0.06277227401733398,8
1,15,1,1,overall,500,0.9999727316019011,6040.5107421875,47617820.0,6900.566643399657,-0.005747318267822266,9
1,15,1,1,plant_1,500,0.9999727316019011,6832.03955078125,62752176.0,7921.627105588851,-0.00191497802734375,9
1,15,1,1,plant_2,500,0.9999727316019011,5251.44482421875,32530528.0,5703.553979756833,-0.06284630298614502,9
